"filename", "language", "JSON", "Lua", "Markdown", "comment", "blank", "total"
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\LICENSE.md", "Markdown", 0, 0, 17, 0, 6, 23
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\README.md", "Markdown", 0, 0, 26, 0, 1, 27
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\generated_ids.lua", "Lua", 0, 156, 0, 2, 3, 161
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\building.lua", "Lua", 0, 224, 0, 86, 65, 375
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\foundation.lua", "Lua", 0, 19, 0, 16, 4, 39
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\generators.lua", "Lua", 0, 45, 0, 11, 14, 70
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\jobs.lua", "Lua", 0, 39, 0, 13, 12, 64
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\magic.lua", "Lua", 0, 42, 0, 19, 7, 68
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\startup.lua", "Lua", 0, 10, 0, 13, 15, 38
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\utility.lua", "Lua", 0, 51, 0, 26, 8, 85
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\gp\workplaces.lua", "Lua", 0, 40, 0, 12, 15, 67
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\localization\en\text.json", "JSON", 60, 0, 0, 0, 6, 66
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\mod.json", "JSON", 7, 0, 0, 0, 3, 10
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\mod.lua", "Lua", 0, 23, 0, 60, 19, 102
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\scripts\overrides.lua", "Lua", 0, 31, 0, 7, 5, 43
"c:\Users\David\Documents\Polymorph Games\Foundation\mods\fishBarrel\settings\config.lua", "Lua", 0, 100, 0, 14, 12, 126
"Total", "-", 67, 780, 43, 279, 195, 1364